category,text_cleaned_string
positive,aww got see st grade teacher`s last day retired
positive,u know lifted rather quotinspiredquot
positive,hahaha niene ur soo smart lmao think good lookin whts gurlie come home weekend
negative,hate
neutral,yah
negative,specially you`re already burneded wore mums shoes well im blistered sucks balls
negative,omg trying fix pic working ugh also mom wont let sleep sanzz bad day
negative,landed phl row window cover nsw could use luv
negative,almost want back android wont apple torrent
negative,ohh i`m watching best friend`s wedding it`s sad
neutral,right need breakfast let`s see make tweeting thinking i`m bloke multitasking lol
positive,ha ha thank
neutral,black russians makes think white russian movie quotation rug really tied room together
positive,fantastic day amazing girl wish sara didn`t go home fb
positive,can`t believe drove way back schoolwhatever happy mother`s day mommy precious candis granny
negative,fuck u dropped new iphone got sctratched im done apple fucking fragile
neutral,miss fun
positive,wait little chaps come round music wiped clean alive
negative,panera lunch byyy aww
positive,haha thanks fansnim happy
neutral,don`t know send anna let think bit find way
neutral,know falls right pm time like right middle day
neutral,follow quick dm
negative,last day favorite teacherim quite sad
positive,goooooood afternoon
neutral,u overheat
neutral,em hahahahaha sry
neutral,nice see expanding texas dont forget us sandiego would love see flights
neutral,supposed flight charlotte rdu pm yesterday flight scheduled departure tonight
negative,_am_umlaut oh i`m sorry hear
negative,trying draw mangaanime new website bad idea
positive,forever since i`ve tweet wanted say thaty love bill hope ya`ll amazing week
positive,gotta love im waking home midnite dangggg pray mr im jumpy
negative,flights via united arrive dfw car parked iah
neutral,get assistance flight plane landed hpn connection atl
positive,heading dinner minute cant wait food
negative,wtf advertising gone mad want access camera microphone amazon really know better
negative,apple im gonna sue thatb
negative,u guys suck ill never fly u ur supervisors suck
positive,hahaha cartoon mascots go virlcom monster nice details good shadow realistic tonsils
positive,u brilliantly sweetie blessings joy
positive,whats going tonight lets partyyyyy
positive,enjoying mother`s day
positive,morning debbs webbs hope nice sleep
neutral,big hair rock day today thinks go start xxxxx zp
positive,good morning haiyaa late wake want go home
negative,need serious cheering
negative,took away st class seat love chairman preferred assigned row seat b middle seat
neutral,give email address ill send actually screen shot
neutral,studio ft one outlet computers need batteries future
neutral,twist case
neutral,writing
positive,omg hair salon tears hope get soon watching real house wives nyc
positive,way earth answer everyone ask donnie got gift yr old lastnight
negative,trying figure personalize downloaded wordpress blog easy hoping suggestions
negative,poor poor mouth
neutral,assam
positive,really enjoyed podcast st time listenening show def listen
positive,im ok hun quite good actually yes youre amazing xx
negative,twitteeeerrr babiieshow ive missed hate whole phone thng
positive,happy mama`s day mamas
negative,exhausted hour work week
positive,thank good suggestion checked rebooked well keep checking looking flights
negative,means say many complaints today week month cant respond bc shes alone
neutral,finished whole box ice cream
negative,money problems bad days
neutral,know hot twitter works
positive,rule life stop saying offered coffee rule life eat lots people
neutral,days ca get see paniniii
negative,finally got call aa automated voice hung called back amp says itll hours
negative,sorry didn`t get see
positive,yay joy department
negative,charbotgreen suspended unusual activity
negative,flight im trying change hours ive trying reach agent unbelievable
negative,social listening capabilities awful reply context mentioned
neutral,malik sajad
negative,customer service terrible stood inline hours flights hours late flightr still bagdisgutedindenver
positive,glad like
neutral,senas apologises parliament
neutral,don`t wanna work weekend
neutral,even years earthquakehaiti still needs helps rebuilding flyingitforward
positive,thanks making trip home mintyfresh next brandmance flight ill take selfies love travel business
neutral,crystal baller rebirth inch iphone insane apple rumors aapl aapl
positive,hubby made skin teeth
positive,easiest airline deal loveeee much
positive,thanks lady
positive,love supporting hourofcode workshops
neutral,next flight free cocktails
neutral,im complaining
neutral,landon announces big poopy coming every time i`m waiting yell store first time
neutral,i`m i`ve always prob prioritizing ahead
negative,dont know saw comment yet
positive,credit replying ill look forward hopefully one flight home tonight
negative,airport dca airline mess flights also cover hotel costs dca hrs
positive,thanks real name nadia
positive,love time starbucks
neutral,way airport headed nyc
negative,first impressions hard reverse horrible first experience never fly
negative,family awful go sorry hear unhappy
positive,thanks great recap wouldnt able sleep nervous bad guy getting away
neutral,ps doctor swine flu paranoid
positive,love always
neutral,_x i`ve got essay plan written looking couple references i`ll get writing
neutral,mastercard debuts new ad spot starring apple pay gwen stefani aapl gwenstefani
positive,buddy really think forgot already taken meds doubled dose hubby home soon need
positive,mom likes milow`s version ayo technology it`s good thing doesn`t clue it`s
negative,faltan russel noodle unhappy
positive,saw tv best job world good luck
neutral,searching wavy hairstyle
positive,happy mom`s day everyone us
neutral,problem isn`t miss `cause don`t
negative,thanks heads hour delay sarcasm patienceiswearingthin woof
positive,ok received email registration team thanks lot
neutral,that`s cold
negative,certainly know feeling wesley sleeping want go get something eat account
neutral,oh chris sorry mr raccoon obviously female cuz female species would adore hugs angel
neutral,says chief minister yogi
neutral,aaplfast money recap energy companies ebb flow oil prices
neutral,finally it`s raining delhi
negative,slow food movement metaphor platform strategy apple iphone ipad apple watch aapl
